U.S. Public School Districts,,,,,,,,,,,
"Source: NCES CCD 2024-25 | Regular public school districts | Open status only | 13,493 districts",,,,,,,,,,,
LEA ID,District Name,State,State Abbrev,District Type,Street,City,Address State,ZIP,Website,Pre-K Offered,Operational Schools
0102370,Mobile County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1 Magnum Pass,Mobile,AL,36618,http://www.mcpss.com,Yes,92
0102400,Monroe County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,109 Rosenwald Drive,Monroeville,AL,36460,http://www.monroe.k12.al.us,Yes,9
0102430,Montgomery County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,632 S Union Street Building C,Montgomery,AL,36104,http://www.mps.k12.al.us,Yes,50
0102480,Morgan County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,235 Highway 67 South,Decatur,AL,35603,http://www.morgank12.org,Yes,18
0102490,Mountain Brook City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,32 Vine Street,Mountain Brook,AL,35213,http://www.mtnbrook.k12.al.us,Yes,6
0102520,Muscle Shoals City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,3200 S Wilson Dam Rd,Muscle Shoals,AL,35661,http://www.mscs.k12.al.us,Yes,7
0102550,Oneonta City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,28370 State Highway 75,Oneonta,AL,35121,http://www.oneontacityschools.com,No,3
0102580,Opelika City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,300 Simmons Street,Opelika,AL,36801,http://www.opelikaschools.org,Yes,10
0102610,Opp City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,113 East Hart,Opp,AL,36467,http://www.oppcityschools.com,Yes,3
0103581,Orange Beach City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,4544 Orange Beach Blvd,Orange Beach,AL,36561,http://orangebeachboe.org,Yes,2
0102635,Oxford City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,402 Main Street,Oxford,AL,36203,http://oxfordcityschools.com,Yes,7
0102640,Ozark City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,860 N US HWY 231,Ozark,AL,36360,http://www.ozarkcityschools.net,Yes,6
0100194,Pelham City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,3160 Pelham Parkway,Pelham,AL,35124,http://www.pelhamcityschools.org,Yes,4
0102650,Pell City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,3105 15th Avenue N,Pell City,AL,35125,http://www.pellcityschools.net,Yes,8
0102670,Perry County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,200 Monroe St,Marion,AL,36756,http://perrycountyal.org,Yes,2
0102700,Phenix City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1212 Ninth Ave,Phenix City,AL,36867,http://www.pcboe.net,Yes,12
0102730,Pickens County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,377 Ladow Center Circle,Carrollton,AL,35447,http://www.pickenscountyschools.net,Yes,7
0102760,Piedmont City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,502 Hood St W,Piedmont,AL,36272,http://www.piedmont.k12.al.us/websites/PiedmontCitySchools/PiedmontCityDistrict/,Yes,3
0102790,Pike County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,101 W Love Street,Troy,AL,36081,http://www.pikecountyschools.com,Yes,7
0100195,Pike Road City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,9045 Vaughn Road,Montgomery,AL,36117,http://prs.school,Yes,4
0102820,Randolph County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,182 Circle Drive,Wedowee,AL,36278,http://www.randolphboe.org,Yes,8
0102850,Roanoke City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,557 Main St,Roanoke,AL,36274,http://www.roanokecityschools.org,Yes,4
0102880,Russell County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,506 14th St,Phenix City,AL,36867,http://myrcsd.org,Yes,8
0102910,Russellville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1945 Waterloo Rd,Russellville,AL,35653,http://www.rcs.k12.al.us,Yes,5
0100185,Saraland City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,4010 Lil Spartan Drive,Saraland,AL,36571,http://www.saralandboe.org,Yes,4
0100189,Satsuma City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,220 Baker Road,Satsuma,AL,36572,http://www.satsumaschools.com,Yes,2
0102940,Scottsboro City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,305 S Scott Street,Scottsboro,AL,35768,http://www.scottsboroschools.net,Yes,5
0102970,Selma City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2194 Broad Street,Selma,AL,36701,http://selmacityschools.org,Yes,11
0103000,Sheffield City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,300 W 6th St,Sheffield,AL,35660,http://www.scs.k12.al.us,Yes,4
0103030,Shelby County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,410 E College St,Columbiana,AL,35051,http://www.shelbyed.k12.al.us,Yes,33
0103062,St Clair County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,410 Roy Drive,Ashville,AL,35953,http://www.sccboe.org,Yes,20
0103090,Sumter County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,Hwy 28 To Country Club Dr,Livingston,AL,35470,http://sumter.k12.al.us,Yes,4
0103120,Sylacauga City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,43 N Broadway Avenue,Sylacauga,AL,35150,http://www.scsboe.org,Yes,4
0103150,Talladega City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,501 South Street East,Talladega,AL,35160,http://www.talladega-cs.net,Yes,5
0103180,Talladega County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,106 W South St,Talladega,AL,35160,,Yes,17
0103210,Tallapoosa County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,679 East Columbus Street,Dadeville,AL,36853,http://www.tallapoosak12.org,Yes,6
0103240,Tallassee City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,308 King St,Tallassee,AL,36078,http://www.tcschools.com,Yes,3
0103270,Tarrant City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1318 Alabama St,Tarrant,AL,35217,http://www.tarrant.k12.al.us,Yes,3
0103300,Thomasville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,750 Gates Drive,Thomasville,AL,36784,http://www.thomasvilleschools.org,Yes,3
0103330,Troy City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,358 Elba Hwy,Troy,AL,36079,http://www.troyschools.net,Yes,5
0100013,Trussville City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,476 Main Street,Trussville,AL,35173,http://trussvillecityschools.com,Yes,5
0103360,Tuscaloosa City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1210 Almon Avenue,Tuscaloosa,AL,35401,http://www.tuscaloosacityschools.com,Yes,21
0103390,Tuscaloosa County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,2314 9th St,Tuscaloosa,AL,35403,http://www.tcss.net,Yes,36
0103420,Tuscumbia City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,303 North Commons Street East,Tuscumbia,AL,35674,http://www.tuscumbia.k12.al.us,Yes,6
0103430,Vestavia Hills City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1204 Montgomery Hwy,Vestavia Hills,AL,35216,http://www.vestavia.k12.al.us,Yes,9
0103450,Walker County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,1710 Alabama Av,Jasper,AL,35501,http://www.walkercountyschools.com,Yes,19
0103480,Washington County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,229 Granade St,Chatom,AL,36518,http://wcbek12.org,Yes,8
0103510,Wilcox County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,75 Camden Bypass,Camden,AL,36726,http://www.wilcoxboe.org,Yes,6
0103540,Winfield City,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,481 Apple Ave,Winfield,AL,35594,http://www.winfield.k12.al.us,Yes,3
0103580,Winston County,ALABAMA,AL,Regular public school district that is not a component of a supervisory union,25101 Highway 195,Double Springs,AL,35553,http://www.winstonk12.org,Yes,10
